# The git-filter-repo commit map from the import of useblocks/sphinx-codelinks into this
# workspace: every commit hash the old repository had, and the hash it now has here.
# Left column = the hash in useblocks/sphinx-codelinks, right column = the hash in this
# repository. It is kept because links into the old repository name old hashes -- seven
# released versions' GitHub Releases, changelog entries and PyPI project page are full of
# them -- and this file is how such a permalink is resolved to the commit here. The old
# repository stays archived and readable, so those links keep working; this maps them across.
# All 173 commits the rewrite parsed are listed, including the ones on the nine branches
# that were not imported (only `main` was merged). So 110 of the right-hand hashes exist in
# this repository and 63 do not: those 63 lived only on branches that were left behind, and
# they are resolvable in the archived old repository through the LEFT-hand column alone.
old                                      new
00e1371d46f88bdef9506f441524fe36c7906c57 67a9553b61015c2729c2b5b8a924e064c8cffdc8
00f9f70fd6874b04eb9f84b00f45ba514865ad5c 6e889d387ff4a3580996fa17b08b6a24126fa764
0209874cd60f264cefcb33dc962ee3701bbcd007 34971cfcb1247bb72188a2da546e8e8362cae0c0
039c0659353c8ccde95c0834b4f856da6fca440a 3dd70b95c021982576a3c7ba86d84565485f1a1a
0a6c38b4ad986f5f6ba538cc8b6037641759dce0 74f73ac8bf9e484f30ac35402ed1ab71e0dece1b
0c17a49358e3c20018e0532dc6fa9bee1da9cd6f bb2f63d4bcd5ca358d885ff5df56ddb230497374
0cb92d8c32a24ce1a87130319e277e9cc0955162 dbea1d8c5af15061699d4f21046cf1bedc327189
0f52aaa541fe978865d9fd75d307630ec887f0dc 275c8c9e24cc93a18a637bae99e93266ef83a147
1097776f3b24ace012c8728e2568a3a3e73bddf9 68e94231c3db12fa761334e87d0b4a2689398220
133cb8c4e1ea919a4c0c80424812b272886633da 4c400668c4f3e555451f05fd7642122b58fd9d90
1958e7eeb108e61bdf2e74d653ac19a45ca524b6 1dbbc2738c8c690d8d3a6ae6b26d9e1bed0b1096
19c1797a5a2ffc22a24aece14dbd287accd93fe4 1ab945a6f003247ffb1624684f4ddcd9664cde27
1d06369b9b65a86e608f349258a899c0bf3b7121 626c5a1f5bdbcc350164018c4e2b235181dc3f48
1eadff3adfee3b63848062a68e9c317580cbcd54 6a44433a5bb15b16a1e8798eca84c3c38230e2e8
2140fb21c33dba4fccc437f7259d4816aa8fa6c3 55906c6891480e1731f58bc6d4f7bef654304dca
2412820b013d2e1ac9460bcb8390b0affc3a744b 9685401d791afe77d24884dccf36a63b3ead4542
25b92faa5886b019c8afd692cdb10596d6feb720 34baf75e76066dd16f0330f5dd02e963ba129cae
28337c9de1b9d2ead03f671234e44a1755b7d042 55f720f9ca6676856c334d63b4431e92522b85d6
2c1a19ec74a000f330de0c3a65c6e3c8cb5cc012 e3fcbfce2ca189b6d023a190153b66c2bccaf045
2dc167363d7e7e4d130c1c6747a597c5259b865d 7f50a4f8eb18caf8b9966034ab6af1145b9cfe05
2f843c79fd58a96799cf63e64bd58126088230ae 4493b52fc626f1bacf6580b8f51fb5fc61642282
303de4701c137f7ccd84047cf619438eda62c956 36085edc12d32fcadcaa58a7d3c67e88b1663418
32156a77d9ea1a988a44134cc2c8ab1c32d7314e 9710ceeff619669d18f813780af10ebb335ae90f
327f65be2d9cd4ddd41307ba514536f09255d99d d17b9a2fd8ac01cda2febbb460f9888a0f16adad
32baf8055799fea3de9916da8d27e23762c15cc6 abfc0c4a65817af47faa5aa8707320bca5ed3c43
32f8bb176cfdea497adf3cff0a2ce6266c345444 d531bcdadcbbb85ffddea7b790ed3d24ba573582
33a0be9437b2b0017f7ac278a69019cc763d4e94 c23f6dc23b3749c6f7622c8987a4645ddd6fdb65
3522143a0cb3cdbbf6a2de4cf1250abff6a45582 a9583df9b5d6cb333d90c54f98863d74c87e0d93
377922abfb31b2527c043697c68ff0410dfa058a f7106b0b1eb80c1aae69afaab236f2687aaa2edf
38c7aad8be6c9d3415ed24eb20d5117e7252e123 0442bac9829fb5854ac2a701ef52c0224ed34a0e
3a22828e08109c52cb56e0cde3f4a16165b21e92 c8c397ae9922eaa9fb314c66085ef2730a18ab3f
3ce5c2e387e58149e4378998dbffc15a5cf7e17b 38cb4c334e87adadcf940c45bc44c60c2b4a3403
3e06b18c0f0c15df2ec4d7f734df54cb1b066555 e1d65736b712342b924f6e15c84460fed5e93081
438639ca3477a7f40176c0498b5e3b61d6ada6d5 beb79a27b31620962b4f975670b4656a963b1dca
43927d04668efce3a952d18b7113f5373c07e054 3b9dca0ef26dc8bb0d42bff6671c72b78a7649ff
445c8584facfe35a9ad6811c8f6b2e09893c6933 6920a669122b2dd58b42d3839345760585515ee1
481a69e5073a749ff68bc5f01f39dc7d4b1e1c45 b69ce75b43ef5cb555747159c5d657f45400d249
494a6dd1df40009e744e7a5413d4d3a4e6efdfea 7fbbea95feda45af7e995d115870e56cf7ea993c
4968d479f144f236ca4988cd79a58d5b7e4c7a61 f36843472654978ae18c91e4fa234120ad6372e1
49bb00c230de1b3b1b3801f5178879f2d693e2f3 e5cb54484c53f31718a1265c48f1847c43c734e3
4d2b26269108880036a066650d20642cb89721bb de09b5fcf31507ae0e16c5dbb3aa8cb99d4844f2
4d738564ababe8fe64ef222a0c1e967adc10bf96 dc3a718df29f1ab96a3bc3c6479c11c626cd99fc
4e4266f125ef86700928415b53d85b49fbff8d0d 317855f141dc0b273a0933fcbe8f6155c908c7a7
4eb6bf86d510c7f79ab085bb2a801f5093a90fe1 9032fb2c39e093d4d2594dcbfad4fc65becbc5db
509d8c7c26d58fd85f4662943c6be1136f4ddbcf a9e97a4326d66ef2591da214602a3c9430535d64
514f13c498afa6f9daa8b0473415d7b26f968a1e b05382f4c24a47962fc3a21c0f9cd879ffb19bc8
555de94c81d25bd93957cc6074b9e1089f366c81 f8b269d5c8db42fc6d0cb4d1df2cf5bbd31feb67
56a504351a1cc7a6106247ad341ea82fe36fdd55 79377b1662b5ff5be2ebadddaccf2a65e63df559
57f3f470778f5f0844b5e968a52231d760e38426 bb1f3f32179757f3b9eee6e794ffb0e67e06337d
5a0659b47f8b09613e31c07329a3bd691d342345 1aaafc02c2a660c749aa4877ff140f7d451af710
5bfc0317d2d028342f42d0b360cb2ceb3ed66617 e46ead4dc8eb90bd3ec981612104df3b0fc87629
5dd434041c3e5ee221fc86c31fec072e7a7e3c25 ad188dce948d597459172740d6d57fc1b87c670f
63adfe500b4baf462195d5671b0b95aa4cdc6cbf f444e57236a365d38da13cc3444a83857d2fe9d9
63dfe87d682d43f67ca5b16581f6e504976d81f3 056e12460979d427121817cf71881f126f5c8f75
6596e8b9ede64b1acf540485cea0f1070b445679 b921bd6e5b0e80fea8851fe3aed7dfe123c870ac
6663d8014fc3260b973e2776555c8104342dd585 3fae61310b3aaf99f9157946322465332d2efd02
66b87689cfcf1245adaa81e352d3f4dd8fdb04e2 661e010d40c385675a99165e464eeff57bd693f2
68e2218a102270f0af1c0cfd8e16687f0d2fa891 e40659ae0f84e3960bb4fd2b80f8ed07c1f6b86d
68f4044f8699a95cd0ff1574799e12d808883898 0db62fb8de68c100b70d53c96c17b2a991a8fc50
69ca1dc68a1105ae69e6dc8a8be868b9666d6929 a3fd50cff3b7f45eef1d2ff677178815c3bfb02c
6a2c7763e8dd090c774a89f6474be9452161a31b 459d4ed23301411dd69eb19a07d12cd582f84427
6aef13344250e3ba4ed759fc4ad5d2f588bc3874 33a26be01c53a94d1d682e7bc6823a20ba69d271
6bc770c86812a4721125ea7f3dd91bca82d7f9d4 a18467b807a4b5aa3e621c6e2a12675a4fbdf164
6bcd4761e3a7f9bea6da4f080b4e30c97972270a 6686675f24cffff748b6913c0d5fe12de06fbe40
6bfee128fe3feabe153eb5cec8a7d280efd917d7 0ef618037b914a5aa70183d861d9180f37f5bc7d
6f581fe5ff4c3f4fa21e147e87562253413061da 70baa3fecc397396f6eb9a16a785d2145f339f2e
7039cfccb90eb3afa109800ff7165e05ac755d36 52368eb99d76fb5c18c895aa348c24037372b913
75976871aa211ee2f8ec51d33eb86335200d5e31 b5eb4554363b792a39d5571bb7a0c1069c1733c2
7788ea097d5bd518597338f66f22000d58da5a10 6c79939744bff195c0ba655ae8354a1f9e1cf3f3
7857f8d2ae6e47694114d060015a144078bdb51c 06ffd3461c43c7b67716615d30c394028567ad98
78bd18794429d31d54a96e6a2a48dab7063c4bf8 1d269583be6f103ea6a1807c66a30d5420fcf01f
79402479913097a5fbd2b87e975735c28d0283c0 521ad35d974214ccfa7eee8861f9c47f7b18fa7c
79656f454c49a9866f1be065e0f35b647643c057 865d32bc006839a603ceb42d0d27d20c337048ff
7a25cd230ca55c1c9be081b9bdb4ff521a487f95 58ab7561cccd3936cfc87153089ce8a07554103e
813636304cd0b4381477b4fb61013798dd4055bc 789b107e80291e925496faf8dac43a49ec85c09f
816a26294d32299a475e01ae61ea5112308e8288 888387835ad59356027ccdc1a75304fed40f9f1c
8197e474caa41d29e22b522dd167465b109a402b 5fe35eb6b69ae2b57bd6ad8a481b2fef393dc156
837b5dead71d7df75db6d9c262e2df8210e039d5 99b57eafd71e35ff761955177abf60e276387692
83bcb9567d80c146c6d9a08b832ba9a631644c75 59a00c4c6f6f9b96568a7143e008f67154ad2e8e
84b35f0ddf0246ad367462e200a1a57d825c6dac 789f55a443d5d533ecf465b6a26dc28f0584e354
84cd87131d0e6f6b22b09f8169ddef5c33347882 8b12c7f7aaaf0fca22e979147af985118449054c
8677b1b1b7bda24bc1f909749c274464c83c6d66 220e2be80c191c952764e21066484d1e78409787
887eec468559de58705a5f6b244e08434bc98f8b df49fe6ca9410c6bdc1ca8462fc26f40230e9a6c
8a77bc67d478154391a93b0c1d5b0a0164c8124d 04b7e7237209f71c719fac4b609c378b3dc2b4d7
8b11ab63a3630d922fccc667dce54148127b9a1c dfe9c25817a4e72dd6073c0673e4b8758675fc38
8b33b8d671cff63fb157530c656b9538f72ed846 06b3b643298e1c5d6ad0bef2067f25ddba0faaa3
8c209e0b2f4829af9a8748b40481e9a5b48feb7a bc4115b9d35d41d7e736a9343b650f996cecce38
8dbc4ec26eb4fc7c0d70f00b6cf7d930f6a56165 7fca4b4554b400ae6a838ca7b93bb3d9a5ddbba9
8f847b630a639e0b8f220bcbe7510a067d3e8714 45371c70ad7434ef3a3a45132417be05e06dd2bc
935d8dfe47a1cab582ac3a951744e05037c2bfee ed66467d5cccd71b3c715efa6638ecfebbe3434b
93a7375b97e8fdb108005704397c30f066abcb38 9ab9afbad0bcf6b4ae046c0c626c75a71225c02c
99b5bf36144733980b67f64980dd271af14c17ed 23a716864ca8181b5160fb3d92f48e43836dcef0
9a46c3c38ba7a1d731a8014d581e90c4b8e94cec 104a9150fef7a6fd55cdc8394ac2c194a84fb601
9a966e087fc2c5ee63f58829b29a3fb397293b5e eb0726bf2849302654b8957d9485210178cf324f
9bbadbb199878794ce3fab7900018693fa12b606 55362ecc4e82e23ad9e03f803e88da5f6152d6dd
9d40f6a6c217e7c95b351043b4bc136b58d236f9 d4513da9fe1b566b93d57eb137f0b2658c0ac6b4
9f26d21e11535f01b948e3a0bc3a87afd3f86b13 aab52c4778b1041d1d00e60150b05db278197369
a089070a8b338e213f72077136c5744fdac29b2f 9eb2bca2014e6b222fe3a52ff2df4fa7abc695f2
a2a79e4539e6f0f4b4b7cf73f641b4c775bad005 e1e145f9582fadacf4876986efea3a86d2184472
a441c175c179f74ec3e1f832a3684b60d7491d93 cdb92499d69f614b601f8aff6c5dd4248a6590ce
a514f1867ef90b695e7a8fd0266ed131fa0dfd21 ccfa329501aecf90f4d875e2bc8c04d5b8012361
a65483e1ed6a543bd1d1374c7078b3cc9e77281c bd5c58cedf0e2441b428c1588a3acadda13004da
a76f8fd42cdfeea5984472629ef3f4fed1de121c f1600019ef16426e1173da7a9c7c6b64415a398e
a7b24d8fd3da953d591f82c1fefb70da39e0c778 e8a480ce798148da65e981e11e99ac325a8d999c
a8e2425fad0c4ea70ae95c2ac8364e99d97d8cf1 8366e8b0cf9144a7a803b7528445f3575298de5f
a972d75d12d5f9d859373c76739e8e02ee3b1cf4 36615aacadb59e85746ef2bb8f6cf15d07ff8c87
adf35cc1bacb970ee2bc900e5255fe904de03bef e831e9fd642ac7656dedfd125e155fe629dd0ff1
b324b139641205a319cdd3dbc8e937cafc80e165 78a2bc8dcd9cdfbfe66b9254dcfce5d49245a007
b5e103507360795afdf223a236fcecd3b4dba43e 5ee62707658b2ca984c5965600201780e45822be
b92872a2ab3b21da5a8af19a939dae163ffc0613 9529a5f1adf967e0e88c509bac02da8893520c48
b9922e483ed9fd2982f743fc18319c92ca06b4b5 a1e1b16dc40e5c66b4561d9caaef7044ed3b705c
b9f11e5682c6d018f43366dd6899979ceae7bc31 e3c0d7778684959528c4e171f5a7abb7a2f3ea8a
ba63f7ba426ecb5258276c36dc14375b23bd2e05 e266639f70e989c0db69dd2c16cefb8e37b162dd
ba66e1768182a850cf1d23ea8189436a7747a86b cb1b4e8e51277fed1f788db6ae55c34244ff0e18
bb0461be8010895dd5e60e14115c23d9862d14d6 2ae088d01df235f45576bec2f56b7ad241bdaa98
bb2956158f8e27877c950300bc0c7a30024ef1f4 e2d4aedef782209cd0768476f2d5ff848875fd15
bb88d5226569c005982ee571e866d4f006445c15 d1f876776fa39ca06f1196709bae67ff05c07825
bbff92a31b122a796d190a23a6492578fc220432 0daaa6009c8206b8b919d7a45d9fb749d0bb5acc
bd1fae968dd0449c9b69d09715e1fb0db5c6683b 24ec8b54231af1de345918318416fb7861087964
bd2ebd1b73a0ca3cfbe5b97f1505cfdf49f25363 c31f995e4433a4ba984f08b1d7b95317d8d04318
bdffd3f446b8c0031942962fd2e24b90759026af a7530f3f5f332363ca9a7a25045fde35f06c279e
bed1667b8ece8655a9d1746bdc53e1d2cf48d746 65086df5f32d8dd02c4146ec06e764640f661174
bf132140f78f7944daaf693624cde513c3bdea1d 48e8d34b400eb9be66ace4e89d6cbb295baa12b4
bf3bd2c0bc2146706c5c7c8b1c2db32219f7d0f3 0d6e04a0b28dc8cd7390994f12b2938d79996171
c03d48b230114511d253e9c09675dc703f682421 643926a9312b64d607e9bdd802dbeea274370db7
c07bb7b0abd282726867b0086941e624cff5d9e1 868e79f7ecc028c6d45fc87eca3f340e79edfc77
c1200752e795120e9f503bb2a8b844a0cf53f80c 7547e4fb29dbe162dada055b679d8c7451ee6be4
c1542c37ddbb346ff95a6e9d25fad0e4b30a67f1 8eb30f0f8b224f696476c091ad85f4d4cbba61c5
c1d799da385713578124b7ca3617b0bf550e3273 63b4cfcceb7b6806263d145dd2e14ae79b1c4603
c440f593f5097c97e953c4a34a284d51f3243c10 050e3d709231a3f131b76e4c6b5366140d7c245f
c8f407f69423eee57253ba2d2140602f645a851e c80bbd7bed9aedfa862fbf38f70181568bfaaf62
