# The git-filter-repo commit map from the import of useblocks/sphinx-mounts into this
# workspace: every commit hash the old repository had, and the hash it now has here.
# Left column = the hash in useblocks/sphinx-mounts, right column = the hash in this
# repository. It is kept because links into the old repository name old hashes -- for
# example eclipse-score/score's DR-008-infra.rst points at a blob at commit 294526a0... --
# and this file is how such a permalink is resolved to the commit here. The old repository
# stays archived and readable, so those links keep working; this maps them across.
# All 48 commits the rewrite parsed are listed, including the ones on branches that were
# not imported (only `main` was merged). So 33 of the right-hand hashes exist in this
# repository and 15 do not: those 15 lived only on branches that were left behind, and they
# are resolvable in the archived old repository through the LEFT-hand column alone.
old                                      new
0081258c6a90ca8b632c61979d14797671406861 2d020a7ca638e301cf203c96eacb0c0509312cca
08ec273b2c7280d003fa9c54d8b23212bf0daa80 af7144330fb1521986da22409dcd2386fa6d04b9
115429bbe5116b7c6983ae8ebc64d652c4c14539 70bea0458d59252d682516cd34ff9bb3f0e71184
116c457788cd6b5e25b14925abaf4e29e979e0b9 3aa5bfea5a71abc7fe1c887d8527b4113aad089f
1175baf9be245a2fdc3d64b7509840aec898d323 f41d19a3df9cb325508580f986f3a68e12fe0546
141922fec753e6c14afda2759a7efcd2d49867c7 d992980253a01be2884ae6e5a53e8ba1483308fc
143b4bbec761d78c572f106a9dd8155d7502079a 8a73888fb1911e3baa8320991f0e137658dec974
15e524afc43edbf86e749cb4bd13b7d8944ecdbb 5ee47c3d36f89aeb4c2250018fca2d0bcb996fc5
16d5854c229e02ac52625c088a68f89b56d3a608 c50a8ef1b9d643ebc6d4561cdc9901c23c4265d6
180f910be4bf31d2dd83755aea2e79888b48d53f cd14ecd6a164b46cb39db4b2e41a92eb36718fbe
1be99f8536e9c8ab8f0f71c49b7f5921e62d63e4 e78c016a53e42bd215ccb00d40b8e591a4aff126
1ef7626a2092d9fb981e15247f5378114a6fd77f 36b28754a1e08e8e39b484074e6922277aadd7a9
2600938fcd9829c27646db9cc2e3ec625a48f68c e5c947499c6d3d055aae9ecf129c578d9a4807fc
294526a010dfd8c3be022d154cc8974defd7c7c7 74e8e1e19151cb5c2f1f2e191ae70df165b00836
3357ee0eced799308c96a12c6c27dcd1d4294688 dd11689664160668aaa655f752a16250b4176318
3467feee58f69142aa92e8c7b37507b688a47d17 02cefd461aac93185e3a1f796345c40caa608e98
358df0fcc5a5b51e6774d51f6e7b812505e403b7 cfbdb1e01ef3c33da2d6d6263ace8e767b75eb5e
36b21462dcf211ba92c443d0ba3839fe86234a5b d63a26dcffc31c76947aad506df0ba73e5d592cc
3e0b9db37ad01e3fc5f7c09fa2325bd318257c27 78cb5dfed05109e3667381d606da987ab21ce10d
4ddc5168a80c32543caf5201e08fc86c12ba1173 d2e1acad17fabcab8b3f3d0a79d7ad9fe1507b13
50cafa0be2a59de90cb2d028bf0ac341059ebd49 762a90f4a4ace20a158fcaa86d42be3f8ceea306
58d24ada763e95098eac9b9bc97e726e7e0daa65 4eeb5b9c428ca913fe001ee22e0603fdb69c9b7f
59920f495e00f7bc0539bfd88f35971de073862b 3222889b6f2ad15560644d50d704b64f2c399134
6735604a2d8acb8fbc05498aa167980b3306ca53 39aad7517bf1281603f26c2442cdde6f89449b04
69510c2779f912e921a435d0b49d2917fb9bf520 7a0afbb7fb0b7cb82efa61a5c4905a4c870dfa65
6cc442835169d8166ec8b929fe69e86443bafdde 922400e472a76aa0dadac3dfc22f68d1a6d6e447
72b50320b9ee243f2c69f9e8af2508c473498f70 543fe53a8c91014b4711e01c7073bcb5a8f27535
74d10e0bd7b491d36f3d8bda4bb428038ccdfd2a 696e6ecf32b4fc35c63f5bbdd4600eced47f87b1
7638b9119ce8b068ab8f55a35da44d24b598e0c0 5871b5eb3b1651ebc41ae9754bb247bbb054693f
7e3cdc75e615920d006959e00571f9c4a07ea446 5248933d82486764680b6da202d48e141bb911de
7e523cf319e11c483ee69876f4cbd48430c31cad c1b765980a059bf7ace61604ab107a86e2120773
8f9af0fdf43494db0e61706df9f548ba9f42e59a 6d3f6c167bcd6bdf252f784a0e145ec6aaf6560b
8fcae5381dc3ba7e4c1248f00d6b9d955aaa59ec c9b628f896067b1ec569337fa8a9a45dbf93a425
93b76301b6676c1326d768a7ec6cdec88c04105f 954de5bf5f1a548bd155fb9721d0a6947c22451c
9a630e352cc3aa1f0527977987669aa9e9cefe59 dd22655852c188921650fe179104b8923494a807
